precision,recall,threshold
0.017366136034732273,0.8571428571428571,4.7016212939423174e-06
0.017391304347826087,0.8571428571428571,4.732407597608268e-06
0.01741654571843251,0.8571428571428571,4.738122987587368e-06
0.01744186046511628,0.8571428571428571,4.760271384486835e-06
0.017467248908296942,0.8571428571428571,4.772928239063766e-06
0.01749271137026239,0.8571428571428571,4.829723102486855e-06
0.017518248175182483,0.8571428571428571,4.836879190125207e-06
0.017543859649122806,0.8571428571428571,4.8412552720889275e-06
0.017569546120058566,0.8571428571428571,4.844035643513815e-06
0.017595307917888565,0.8571428571428571,4.878319937478589e-06
0.01762114537444934,0.8571428571428571,4.881443150944999e-06
0.01764705882352941,0.8571428571428571,4.895581824064283e-06
0.017673048600883652,0.8571428571428571,4.935297367187317e-06
0.017699115044247787,0.8571428571428571,4.970484291165718e-06
0.01772525849335303,0.8571428571428571,4.9727380144806386e-06
0.01775147928994083,0.8571428571428571,4.9760174420927914e-06
0.017777777777777778,0.8571428571428571,4.989380155478792e-06
0.017804154302670624,0.8571428571428571,4.999729387654434e-06
0.017830609212481426,0.8571428571428571,5.007312138737388e-06
0.017857142857142856,0.8571428571428571,5.065376110048491e-06
0.01788375558867362,0.8571428571428571,5.155324236068506e-06
0.01791044776119403,0.8571428571428571,5.195150333019968e-06
0.017937219730941704,0.8571428571428571,5.235265446184536e-06
0.017964071856287425,0.8571428571428571,5.267699058542228e-06
0.017991004497751123,0.8571428571428571,5.336173682378308e-06
0.018018018018018018,0.8571428571428571,5.3622774463674675e-06
0.01804511278195489,0.8571428571428571,5.372963308969686e-06
0.018072289156626505,0.8571428571428571,5.3872141246773645e-06
0.01809954751131222,0.8571428571428571,5.4752736425192615e-06
0.01812688821752266,0.8571428571428571,5.482438823867456e-06
0.018154311649016642,0.8571428571428571,5.499253423553016e-06
0.01818181818181818,0.8571428571428571,5.500299873657158e-06
0.018209408194233688,0.8571428571428571,5.527747574260481e-06
0.0182370820668693,0.8571428571428571,5.560892102607652e-06
0.0182648401826484,0.8571428571428571,5.6038342480326186e-06
0.018292682926829267,0.8571428571428571,5.703919837942094e-06
0.0183206106870229,0.8571428571428571,5.748676077483125e-06
0.01834862385321101,0.8571428571428571,5.813345731459474e-06
0.018376722817764167,0.8571428571428571,5.822650457512553e-06
0.018404907975460124,0.8571428571428571,5.873864848398001e-06
0.018433179723502304,0.8571428571428571,5.937136638522862e-06
0.018461538461538463,0.8571428571428571,5.940119357314384e-06
0.01848998459167951,0.8571428571428571,5.969732278282286e-06
0.018518518518518517,0.8571428571428571,5.9711660304222784e-06
0.01854714064914992,0.8571428571428571,5.971401589540595e-06
0.018575851393188854,0.8571428571428571,5.971653266003767e-06
0.018604651162790697,0.8571428571428571,5.997270014483187e-06
0.018633540372670808,0.8571428571428571,5.997323236103533e-06
0.01866251944012442,0.8571428571428571,6.0031342591293504e-06
0.018691588785046728,0.8571428571428571,6.005553583613244e-06
0.0187207488299532,0.8571428571428571,6.034448689785975e-06
0.01875,0.8571428571428571,6.038744322941934e-06
0.018779342723004695,0.8571428571428571,6.075894905595838e-06
0.018808777429467086,0.8571428571428571,6.108273309800055e-06
0.018838304552590265,0.8571428571428571,6.114801394492336e-06
0.018867924528301886,0.8571428571428571,6.14009669340136e-06
0.01889763779527559,0.8571428571428571,6.1405221317496485e-06
0.01892744479495268,0.8571428571428571,6.1924856198473015e-06
0.018957345971563982,0.8571428571428571,6.196924568298536e-06
0.0189873417721519,0.8571428571428571,6.264592888783078e-06
0.01901743264659271,0.8571428571428571,6.2757890723861355e-06
0.01904761904761905,0.8571428571428571,6.290539447282696e-06
0.019077901430842606,0.8571428571428571,6.3385706305923125e-06
0.01910828025477707,0.8571428571428571,6.353246819634813e-06
0.019138755980861243,0.8571428571428571,6.370284871792248e-06
0.019169329073482427,0.8571428571428571,6.381000477182606e-06
0.0192,0.8571428571428571,6.4050675431532e-06
0.019230769230769232,0.8571428571428571,6.426787644113212e-06
0.019261637239165328,0.8571428571428571,6.452737590234781e-06
0.01929260450160772,0.8571428571428571,6.519517805922626e-06
0.01932367149758454,0.8571428571428571,6.5200981637590456e-06
0.01935483870967742,0.8571428571428571,6.543476421635907e-06
0.01938610662358643,0.8571428571428571,6.552045816080763e-06
0.019417475728155338,0.8571428571428571,6.617215930940772e-06
0.019448946515397084,0.8571428571428571,6.640363323487467e-06
0.01948051948051948,0.8571428571428571,6.648282111281899e-06
0.01951219512195122,0.8571428571428571,6.651891579886596e-06
0.019543973941368076,0.8571428571428571,6.669846020619314e-06
0.01957585644371941,0.8571428571428571,6.674076823318203e-06
0.0196078431372549,0.8571428571428571,6.683713053157689e-06
0.019639934533551555,0.8571428571428571,6.6993022086312495e-06
0.019672131147540985,0.8571428571428571,6.723605375646151e-06
0.019704433497536946,0.8571428571428571,6.724673626826762e-06
0.019736842105263157,0.8571428571428571,6.732099236011949e-06
0.019769357495881382,0.8571428571428571,6.765426324970381e-06
0.019801980198019802,0.8571428571428571,6.771418499416232e-06
0.019834710743801654,0.8571428571428571,6.7803489191917964e-06
0.019867549668874173,0.8571428571428571,6.790172542011333e-06
0.01990049751243781,0.8571428571428571,6.811646894871336e-06
0.019933554817275746,0.8571428571428571,6.850368177176736e-06
0.019966722129783693,0.8571428571428571,6.891583616929123e-06
0.02,0.8571428571428571,6.965468508956315e-06
0.02003338898163606,0.8571428571428571,6.973610989489918e-06
0.020066889632107024,0.8571428571428571,7.005702995846456e-06
0.020100502512562814,0.8571428571428571,7.027696410490869e-06
0.020134228187919462,0.8571428571428571,7.029241202297503e-06
0.020168067226890758,0.8571428571428571,7.061389398509222e-06
0.020202020202020204,0.8571428571428571,7.106101311555971e-06
0.02023608768971332,0.8571428571428571,7.13807527499584e-06
0.02027027027027027,0.8571428571428571,7.181832681657123e-06
0.02030456852791878,0.8571428571428571,7.217992735864163e-06
0.020338983050847456,0.8571428571428571,7.227414089941659e-06
0.02037351443123939,0.8571428571428571,7.243526438819199e-06
0.02040816326530612,0.8571428571428571,7.258919755286451e-06
0.020442930153321975,0.8571428571428571,7.2926996448282225e-06
0.020477815699658702,0.8571428571428571,7.3005435435639705e-06
0.020512820512820513,0.8571428571428571,7.305114195376316e-06
0.02054794520547945,0.8571428571428571,7.414111108617563e-06
0.02058319039451115,0.8571428571428571,7.418668830953955e-06
0.020618556701030927,0.8571428571428571,7.4357873974063166e-06
0.020654044750430294,0.8571428571428571,7.455765505789397e-06
0.020689655172413793,0.8571428571428571,7.4799938533438556e-06
0.02072538860103627,0.8571428571428571,7.601554112184862e-06
0.01903114186851211,0.7857142857142857,7.6182297401150636e-06
0.019064124783362217,0.7857142857142857,7.673660457900854e-06
0.019097222222222224,0.7857142857142857,7.68179220894514e-06
0.019130434782608695,0.7857142857142857,7.724449646950391e-06
0.01916376306620209,0.7857142857142857,7.730269685233393e-06
0.019197207678883072,0.7857142857142857,7.73637732340202e-06
0.019230769230769232,0.7857142857142857,7.75784226201439e-06
0.01926444833625219,0.7857142857142857,7.769821518060864e-06
0.01929824561403509,0.7857142857142857,7.788603437838337e-06
0.019332161687170474,0.7857142857142857,7.792789066069106e-06
0.01936619718309859,0.7857142857142857,7.795774182025339e-06
0.019400352733686066,0.7857142857142857,7.827605140966813e-06
